1|2|3|4|5|8|10|12|15|20|25|30|35|50
2|293.988464906116|293.988464906116|293.988464906116|293.988464906116|288.271785776067|284.967720518513|271.487722473236|214.552570988994|241.068957793033|383.501591770651|398.893265348701|440.112898798023|440.863126079487
3|384.618100080079|374.407378680926|378.568102811852|379.435703975077|406.410816142301|417.488398129867|407.9205324447|409.322271585287|381.000154707248|304.702027940609|297.850450641694|309.539161940866|335.053596080922
5|541.541890716791|576.783261334453|585.904996059724|585.937685825337|564.480289660665|548.107880102848|530.382552521496|526.161725917119|526.703210294737|689.754582206343|551.212036724871|429.112803687988|372.003130792816
8|1345.67604206415|1349.1186505402|1246.73769897969|1238.43932203401|1231.32001469116|959.194238436682|965.556755681248|952.298664019488|932.508221395557|669.403971246545|671.542288837615|667.064606941137|585.997426563465
10|1035.26846642945|1037.54824192273|1022.58378461241|1009.12880884691|1000.97773488839|1137.77680405191|1149.60120466315|1001.39035771034|1020.2679766604|1110.57002494156|683.147285383351|710.711919643888|605.099400462006
15|1715.97973732035|1534.32185220219|1518.14930252635|1505.02655020227|1503.31794973156|1525.54197286145|1520.65129718215|1507.50033569634|1516.36483988671|1287.07465573329|1182.76571283983|1127.1439429098|1164.27184562872
20|1364.72741872899|1376.97119137899|1379.80450104129|1375.07727208563|1371.42738940893|1442.99963128857|1400.51199834097|1404.11260012896|1404.00348313304|1386.18897823912|1358.71370086784|1394.0620115907|1326.42476056925
25|1359.91810387429|1442.42064752008|1433.19562669221|1410.45246500594|1407.02796409653|1380.38527820228|1381.71432255683|1378.77273957471|1423.86672598327|1450.58857146147|1381.7489832031|1214.27080181568|1240.83214511779
30|1646.62822867248|1648.67477188103|1649.35449995613|1646.45575191454|1645.46385300921|1646.49738273957|1648.89630361961|1665.89452478135|1627.3753112197|1548.65045771414|1426.54274062537|1107.76958693842|1081.66326394366
40|1558.71076537167|1542.17288661023|1565.00297504985|1566.21276810141|1583.54147436424|1659.47538679198|1656.03696932774|1652.62268478612|1644.20714523094|1646.28811670103|1509.24164072106|1511.05678909276|1376.88332691811
50|1656.97533703776|1656.00880105706|1652.30202067301|1622.67050603175|1616.38440010741|1552.38222379101|1548.22858088455|1534.41625084884|1630.71133802997|1719.56033422308|1746.11499523904|1756.63888309604|1754.35356214517
60|1561.82276756919|1529.64308759322|1523.64349539143|1591.57535435623|1585.58778431496|1663.63267432262|1699.08329761753|1731.62784615309|1693.31006455859|1858.77337251698|1831.23962345458|1717.33123960669|1693.73189647993
70|2694.37544012712|2772.18710893682|2774.65032179115|2794.71584854611|2798.51242799019|1636.06103678976|1681.91456946406|1654.6997319151|1649.52090155358|1581.68474400538|1624.68684998661|1636.06554181842|1660.70859290187
